ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,
77,Module 3. Sáng tạo nội dung số,3,3,Kế hoạch nội dung trung hạn thường được xác định theo khung thời gian nào?,Tuần/Ngày,Năm,Quý/Tháng,Giờ,C,Quý/Tháng,
78,Module 3. Sáng tạo nội dung số,3,3,Định dạng nội dung nào có ưu điểm là tương tác trực tiếp và chân thực?,Infographic,Podcast,Livestream,Blog Post,C,Livestream,
79,Module 3. Sáng tạo nội dung số,3,3,"Để viết nội dung đúng giọng điệu thương hiệu và phù hợp nền tảng, kỹ năng nào là cần thiết?",Public Domain (Miền công cộng),Khả năng thiết kế hình ảnh,Khả năng viết nội dung hấp dẫn,Khả năng chỉnh sửa âm thanh,C,Khả năng viết nội dung hấp dẫn,
80,Module 3. Sáng tạo nội dung số,3,3,Audacity và Adobe Audition là các công cụ chuyên về lĩnh vực gì?,Thiết kế đồ họa,Chỉnh sửa video,Chỉnh sửa âm thanh,Soạn thảo văn bản,C,Chỉnh sửa âm thanh,
81,Module 3. Sáng tạo nội dung số,3,3,Việc tập hợp nội dung về một nơi trong quá trình rà soát giúp ích gì?,Giảm số lượng nhà máy gây ô nhiễm.,Tăng dung lượng lưu trữ cần thiết,Dễ quản lý và có cái nhìn tổng quan,Gây khó khăn trong việc phân loại,C,Dễ quản lý và có cái nhìn tổng quan,
82,Module 3. Sáng tạo nội dung số,3,3,Dàn ý (Outline) phù hợp nhất cho loại nội dung nào?,"Đưa ra phản hồi mang tính xây dựng, cụ thể",Sử dụng nhiều hình ảnh và biểu tượng cảm xúc,"Nội dung nặng về text như bài viết, báo cáo",Yêu cầu mọi thành viên phải làm việc cùng lúc,C,"Nội dung nặng về text như bài viết, báo cáo",
83,Module 3. Sáng tạo nội dung số,3,3,"Trong biên tập nội dung, việc chuẩn hóa định dạng (font chữ, màu sắc, bố cục) nhằm mục đích gì?",Để biết văn bản có phổ biến hay không,Thể hiện sự sáng tạo không giới hạn,Đảm bảo tính chuyên nghiệp và dễ đọc,Giảm kích thước file của nội dung,C,Đảm bảo tính chuyên nghiệp và dễ đọc,
84,Module 3. Sáng tạo nội dung số,3,3,Quyền nào sau đây KHÔNG thuộc quyền của tác giả?,Trồng được các loại cây trồng mới không phù hợp với điều kiện địa phương.,Các trang web khác nhau có yêu cầu về độ phức tạp mật khẩu khác nhau.,Quyền thay đổi nội dung của các tác phẩm phái sinh từ tác phẩm của mình,Gửi ngay một email xin lỗi đến tất cả mọi người trong danh sách liên lạc,C,Quyền thay đổi nội dung của các tác phẩm phái sinh từ tác phẩm của mình,
85,Module 3. Sáng tạo nội dung số,3,3,Giấy phép Royalty-Free có nghĩa là gì?,Giúp bạn tránh bị các nền tảng mạng xã hội chặn tài khoản.,Kết nối các máy tính và thiết bị khác trong một mạng lưới cục bộ.,Trả phí một lần để được quyền sử dụng nhiều lần theo quy định,Các thiết bị số có khả năng kết nối với nhau qua mạng internet.,C,Trả phí một lần để được quyền sử dụng nhiều lần theo quy định,
86,Module 3. Sáng tạo nội dung số,3,3,Trang web nào sau đây KHÔNG phải là nguồn tài nguyên hợp pháp được đề xuất?,Các quy tắc về an ninh mạng,Flickr (với bộ lọc giấy phép),Các trang chia sẻ torrent,Thông tin truyền miệng,C,Các trang chia sẻ torrent,
87,Module 3. Sáng tạo nội dung số,3,3,"Trong email xin phép, tại sao cần giữ lại bằng chứng (email, hợp đồng)?",Sử dụng mạng không dây không an toàn để xâm nhập.,Luôn luôn đúng giờ trong các cuộc họp trực tuyến.,Để làm cơ sở pháp lý nếu có tranh chấp sau này,Giúp bạn có nhiều lượt thích và tương tác hơn.,C,Để làm cơ sở pháp lý nếu có tranh chấp sau này,
88,Module 3. Sáng tạo nội dung số,3,3,"Mini-project ""Công cụ đổi tên file"" được dùng để minh họa cho quy trình nào?",Giảm giá thành sản phẩm để người tiêu dùng dễ dàng tiếp cận.,Chỉ những cá nhân được chấp thuận mới có thể truy cập thông tin.,Quy trình phát triển phần mềm (Thiết kế - Cài đặt - Kiểm thử),Sử dụng nhiều biệt ngữ chuyên môn để thể hiện sự hiểu biết,C,Quy trình phát triển phần mềm (Thiết kế - Cài đặt - Kiểm thử),
89,Module 3. Sáng tạo nội dung số,3,3,"Mục tiêu ""Thuyết phục/Bán hàng"" của nội dung số hướng đến điều gì?","Mang lại tiếng cười, sự thư giãn","Cung cấp kiến thức, hướng dẫn","Kêu gọi mua hàng, đăng ký dịch vụ",Lấy dữ liệu đầu vào từ người dùng.,C,"Kêu gọi mua hàng, đăng ký dịch vụ",
90,Module 3. Sáng tạo nội dung số,3,4,"""Thói quen số"" (Digital Habits) của đối tượng đề cập đến điều gì?",Bất cứ thứ gì có thể được tìm thấy và lập chỉ mục bởi một công cụ tìm kiếm.,Phân tích các loại rác thải để hiểu về thói quen tiêu dùng của một tổ chức.,"Các nền tảng mạng xã hội họ sử dụng, thời gian online, loại nội dung ưa thích",Kẻ tấn công cài đặt phần mềm gián điệp để ghi lại mật khẩu khi người dùng gõ.,C,"Các nền tảng mạng xã hội họ sử dụng, thời gian online, loại nội dung ưa thích",
91,Module 3. Sáng tạo nội dung số,3,4,"Lên lịch bài đăng chi tiết, phân công nhiệm vụ thuộc loại kế hoạch nội dung nào?",Cảnh cáo và và yêu cầu đính chính,Kế hoạch trung hạn (Quý/Tháng),Báo cáo từ người dân địa phương.,Kế hoạch ngắn hạn (Tuần/Ngày),D,Kế hoạch ngắn hạn (Tuần/Ngày),
92,Module 3. Sáng tạo nội dung số,3,4,"Định dạng nào phù hợp để truyền tải thông tin chi tiết, chuyên sâu và tốt cho SEO?",Để kết quả tìm kiếm ít hơn,"Video ngắn (TikTok, Reels)",Carousel/Slide (Instagram),Bài viết (Blog Post/Articles),D,Bài viết (Blog Post/Articles),
93,Module 3. Sáng tạo nội dung số,3,4,"Yếu tố ""Truyền cảm hứng"" của một nội dung có giá trị nhằm mục đích gì?",Cung cấp thông tin chính xác và khách quan,Giải quyết một vấn đề cụ thể cho người xem,Cấu trúc hệ thống và các ngôn ngữ trình bày máy tính,"Thúc đẩy tư duy, tạo động lực, thay đổi góc nhìn",D,"Thúc đẩy tư duy, tạo động lực, thay đổi góc nhìn",
94,Module 3. Sáng tạo nội dung số,3,4,Hemingway Editor là công cụ hỗ trợ cho việc gì?,Khi chỉ có hai nhóm dữ liệu để so sánh,Tăng cường quảng bá nông sản trên mạng xã hội.,Xây một ngôi nhà – cần nền móng vững chắc.,"Giúp câu văn trở nên rõ ràng, súc tích hơn",D,"Giúp câu văn trở nên rõ ràng, súc tích hơn",
95,Module 3. Sáng tạo nội dung số,3,4,"Nội dung ""cần cập nhật"" là nội dung như thế nào?",Nội dung mới được sản xuất trong vòng 24 giờ,"Nội dung có giá trị bền vững, không lỗi thời","Nội dung chứa thông tin sai lệch, cần loại bỏ","Có thông tin, số liệu, hoặc xu hướng đã thay đổi",D,"Có thông tin, số liệu, hoặc xu hướng đã thay đổi",
96,Module 3. Sáng tạo nội dung số,3,4,Yếu tố nào cần có trong dàn ý chi tiết cho nội dung text?,Có kinh nghiệm làm việc tại các công ty lớn,"Cho phép mọi người nói tự do, không cần giơ tay",Xây dựng thêm nhiều đường cao tốc và cầu vượt.,"Tiêu đề chính, các phần, các ý nhỏ, ví dụ, CTA",D,"Tiêu đề chính, các phần, các ý nhỏ, ví dụ, CTA",
97,Module 3. Sáng tạo nội dung số,3,4,"Kỹ thuật ""Cắt"" (Trim/Cut) trong biên tập nội dung là gì?",Xây dựng thương hiệu và quản lý khủng hoảng truyền thông.,Giả danh một nhân vật có quyền uy để ra lệnh cho nạn nhân.,Kẻ tấn công sử dụng một chìa khóa đa năng để bẻ khóa mã.,"Loại bỏ những phần không cần thiết, lặp lại, hoặc lỗi thời",D,"Loại bỏ những phần không cần thiết, lặp lại, hoặc lỗi thời",
98,Module 3. Sáng tạo nội dung số,3,4,Hầu hết mọi tác phẩm sáng tạo trên thế giới số được bảo hộ bản quyền từ khi nào?,Chỉ khi tác phẩm đó được bán và tạo ra lợi nhuận,Sau khi tác giả đăng ký với cơ quan chức năng,Sử dụng càng nhiều màu sắc và hiệu ứng càng tốt,"Ngay từ khi ra đời, dù có ghi chú hay không",D,"Ngay từ khi ra đời, dù có ghi chú hay không",
99,Module 3. Sáng tạo nội dung số,3,4,"Điều kiện ""NonCommercial"" (Phi thương mại) trong giấy phép Creative Commons có nghĩa là gì?",Phải chia sẻ tác phẩm phái sinh với cùng giấy phép,Sử dụng nhiều biệt ngữ chuyên môn để thể hiện sự hiểu biết,Việc đóng gói sản phẩm bằng các vật liệu không thể tái chế.,Không được sử dụng tác phẩm cho các mục đích thương mại,D,Không được sử dụng tác phẩm cho các mục đích thương mại,
100,Module 3. Sáng tạo nội dung số,3,4,Việc ghi nguồn đầy đủ ngay cả khi giấy phép không yêu cầu được xem là gì?,Chỉ mua các thiết bị từ các thương hiệu lớn và uy tín.,"Short, Meaningful, Actionable, Relatable, Teachable.",Thay thế hoàn toàn việc giao tiếp giữa các thành viên,Một hành động chuyên nghiệp và thể hiện sự tôn trọng,D,Một hành động chuyên nghiệp và thể hiện sự tôn trọng,
101,Module 3. Sáng tạo nội dung số,3,4,"""Đầu vào"" (Input) và ""Đầu ra"" (Output) cần được xác định trong giai đoạn nào của quy trình phát triển phần mềm?",Bảo trì,Cài đặt,Kiểm thử,Thiết kế,D,Thiết kế,
102,Module 3. Sáng tạo nội dung số,3,4,"Tại sao cần kiểm thử phần mềm với các kịch bản khác nhau (chạy đúng, chạy sai, ngoại lệ)?",Luôn bật chế độ đồng bộ hóa tự động cho tất cả các ứng dụng.,Phần mềm có thể xử lý lượng lớn dữ liệu một cách tự động.,Sử dụng từ viết tắt trong khi nhắn tin với bạn bè thân thiết.,Để đảm bảo phần mềm hoạt động ổn định trong nhiều tình huống,D,Để đảm bảo phần mềm hoạt động ổn định trong nhiều tình huống,
103,Module 3. Sáng tạo nội dung số,3,4,"Theo tài liệu, đâu là một bước chuẩn bị quan trọng khi tham gia vào lực lượng lao động trong kỷ nguyên số?",Thêm nhiều hiệu ứng đặc biệt,Có bằng cấp đại học loại giỏi,Thành thạo ít nhất hai ngoại ngữ,Nắm vững kiến thức và kỹ năng số,D,Nắm vững kiến thức và kỹ năng số,
104,Module 3. Sáng tạo nội dung số,3,4,"Hoạt động nào được đề xuất để củng cố kiến thức phần ""Phân tích mục tiêu và đối tượng""?",Tìm lỗi trong chương trình đã viết.,"Tham gia một khóa ""digital detox"".",Thông tin được trình bày trung lập,Thực hành xây dựng Persona đơn giản,D,Thực hành xây dựng Persona đơn giản,
105,Module 3. Sáng tạo nội dung số,3,4,Yếu tố nào KHÔNG phải là nguồn lực cần cân nhắc khi lựa chọn loại nội dung?,Phân tích tính chính xác của nguồn tin.,Tìm lỗi trong chương trình đã viết.,Giao diện người dùng và phần cứng.,Mức độ nổi tiếng của người sáng tạo,D,Mức độ nổi tiếng của người sáng tạo,
106,Module 3. Sáng tạo nội dung số,3,4,"Khi sản xuất nội dung, việc đảm bảo thiết kế phù hợp kích thước từng nền tảng thuộc về kỹ năng nào?",Khả năng quay/chỉnh sửa video,Khả năng viết nội dung hấp dẫn,Khả năng sáng tạo kịch bản video,Khả năng thiết kế hình ảnh bắt mắt,D,Khả năng thiết kế hình ảnh bắt mắt,
107,Module 3. Sáng tạo nội dung số,3,4,So sánh việc rà soát nội dung với việc sắp xếp một kho hàng nhằm mục đích gì?,Sẵn sàng đón nhận phản hồi từ người khác,Thực hiện các phép tính toán học.,Để nhập thêm nhiều hàng hóa mới,Để tối ưu hóa việc sử dụng tài nguyên,D,Để tối ưu hóa việc sử dụng tài nguyên,
108,Module 3. Sáng tạo nội dung số,3,4,"Kỹ thuật ""làm nổi bật"" (nhấn mạnh) nội dung cũ trong một dàn ý mới có nghĩa là gì?","VR là một công nghệ cũ, trong khi AR là một công nghệ mới.",Yêu cầu mọi người luôn bật camera trong suốt cuộc họp,Các tệp tin hình ảnh với đuôi mở rộng như JPEG hay PNG,"Chú trọng, làm rõ một thông tin quan trọng đã có từ trước",D,"Chú trọng, làm rõ một thông tin quan trọng đã có từ trước",
109,Module 3. Sáng tạo nội dung số,3,4,"Việc cập nhật dữ liệu, hình ảnh, ví dụ cho phù hợp với thời điểm mới nhằm mục đích gì?",Thay đổi hoàn toàn mục tiêu của nội dung,Làm cho nội dung dài hơn và chi tiết hơn,Sau khi tác giả đăng ký với cơ quan chức năng,"Tránh cung cấp thông tin lỗi thời, sai lệch",D,"Tránh cung cấp thông tin lỗi thời, sai lệch",
110,Module 3. Sáng tạo nội dung số,3,4,Phông chữ (font) có được bảo hộ bản quyền không?,Kẻ tấn công sử dụng các từ trong nhiều ngôn ngữ khác nhau để đoán mật khẩu.,Phục hồi hệ thống nhanh nhất có thể sau khi một cuộc tấn công xảy ra.,Bình luận công khai trên bài đăng của họ để hỏi xem có chuyện gì xảy ra.,"Có, phông chữ có thể được bảo hộ như một phần mềm hoặc tác phẩm mỹ thuật",D,"Có, phông chữ có thể được bảo hộ như một phần mềm hoặc tác phẩm mỹ thuật",
111,Module 3. Sáng tạo nội dung số,3,4,"Điều kiện ""ShareAlike"" (Chia sẻ tương tự) trong giấy phép Creative Commons yêu cầu gì?",Chỉ được chia sẻ tác phẩm trong các cộng đồng phi lợi nhuận,Hệ thống PKES bị gây nhiễu (jamming) khiến nó tự động mở khóa.,Phải thích (like) và chia sẻ (share) tác phẩm trên mạng xã hội,Các tác phẩm phái sinh phải được chia sẻ với cùng một giấy phép,D,Các tác phẩm phái sinh phải được chia sẻ với cùng một giấy phép,
112,Module 3. Sáng tạo nội dung số,3,4,Lý do chính đáng để tìm nội dung thay thế là gì?,Nội dung đó đã có quá nhiều người sử dụng,Giới thiệu bản thân và mục đích sử dụng.,Giữ bí mật vì đó là lời hứa của bạn với họ.,Không tìm thấy thông tin giấy phép rõ ràng,D,Không tìm thấy thông tin giấy phép rõ ràng,
113,Module 3. Sáng tạo nội dung số,3,4,Tư duy của một kỹ sư phần mềm không chỉ đơn thuần là gì?,Viết tài liệu,Authority,Kỹ năng,Viết code,D,Viết code,
114,Module 3. Sáng tạo nội dung số,3,4,"Chuẩn đầu ra của phần ""Lập kế hoạch nội dung số"" là gì?",Tải tất cả dữ liệu của mình lên đám mây để giải phóng dung lượng trên thiết bị cá nhân.,Ngăn chặn các email lừa đảo và thư rác trước khi chúng đến hộp thư của người dùng.,Tăng cường khả năng lưu trữ dữ liệu trên các thiết bị cá nhân như điện thoại và máy tính.,"Sinh viên có khả năng phân biệt các loại nội dung số, yêu cầu cập nhật và tính phù hợp",D,"Sinh viên có khả năng phân biệt các loại nội dung số, yêu cầu cập nhật và tính phù hợp",
115,Module 3. Sáng tạo nội dung số,3,4,"Yếu tố nào giúp video ngắn (TikTok, Reels) và video dài (YouTube) có cấu trúc rõ ràng?",Chương trình chạy nhanh hơn bình thường,Để biết văn bản có phổ biến hay không,Làm cho nội dung dài hơn và chi tiết hơn,"Kịch bản có mở đầu, phát triển, kết thúc",D,"Kịch bản có mở đầu, phát triển, kết thúc",
116,Module 3. Sáng tạo nội dung số,3,4,Việc so sánh thiết kế khung nội dung với việc xây nhà cần bản vẽ chi tiết nhấn mạnh điều gì?,Hướng dẫn quy trình rà soát và đánh giá tài nguyên nội dung đã có.,Phục hồi hệ thống nhanh nhất có thể sau khi một cuộc tấn công xảy ra.,"VR được sử dụng cho giải trí, trong khi AR được sử dụng cho công việc.",Tầm quan trọng của việc lập kế hoạch để đảm bảo chất lượng và hiệu quả,D,Tầm quan trọng của việc lập kế hoạch để đảm bảo chất lượng và hiệu quả,
117,Module 3. Sáng tạo nội dung số,3,4,Tông giọng (tone of voice) trong nội dung cần phải phù hợp với yếu tố nào?,Khi dữ liệu thay đổi theo thời gian,Sở thích cá nhân của người biên tập,Xu hướng đang thịnh hành trên mạng xã hội,Thương hiệu/mục tiêu và đối tượng mới,D,Thương hiệu/mục tiêu và đối tượng mới,
118,Module 3. Sáng tạo nội dung số,3,4,Logo không chỉ được bảo hộ bởi luật bản quyền mà còn bởi luật nào?,Năng lực quản lý danh tính số.,"Do router quá nóng, cần tắt đi","Quét, Nhận dạng, Lọc và Tin tưởng.",Luật sở hữu trí tuệ về nhãn hiệu,D,Luật sở hữu trí tuệ về nhãn hiệu,
119,Module 3. Sáng tạo nội dung số,3,4,Nội dung số được coi là có giá trị khi nào?,Kẻ tấn công sử dụng lỗi chính tả trong mật khẩu để làm cho chúng khó đoán hơn.,"Khi mang lại giá trị thực như giải trí, truyền cảm hứng, hoặc thúc đẩy hành động",Thu thập càng nhiều dữ liệu càng tốt để phục vụ cho các mục đích trong tương lai.,"Lọc thay đổi thứ tự các dòng, còn Sắp xếp chỉ hiển thị dữ liệu thỏa điều kiện",B,"Khi mang lại giá trị thực như giải trí, truyền cảm hứng, hoặc thúc đẩy hành động",
120,Module 3. Sáng tạo nội dung số,3,3,"Khi sản xuất nội dung số, yếu tố nào quan trọng nhất trong việc lựa chọn nhân sự?",Bảo vệ quyền lợi và danh dự của bản thân và người khác,Khả năng sáng tạo nội dung phù hợp nền tảng và thương hiệu,"Có kinh tế số, có xã hội số, có công nghệ, có dữ liệu.",Nhân bản vô tính các loài động vật có nguy cơ tuyệt chủng.,B,Khả năng sáng tạo nội dung phù hợp nền tảng và thương hiệu,
